CUSTOMER_ID,FIRST_NAME,LAST_NAME,EMAIL_ADDRESS,COMPANY_NAME,PHONE_NUMBER,ADDRESS_LINE_1,ADDRESS_LINE_2,CITY_NAME,STATE_NAME,POSTAL_CODE,COUNTRY_NAME
1,ALEX,SMITH,ALEX.SMITH001@EXAMPLE.COM,NORTHWIND,555-001-1001,101 MAIN ST,,BOSTON,MA,10001,USA
2,JAMIE,JOHNSON,JAMIE.JOHNSON002@EXAMPLE.COM,CONTOSO,555-002-1002,102 MAIN ST,,SEATTLE,WA,10002,USA
3,TAYLOR,WILLIAMS,TAYLOR.WILLIAMS003@EXAMPLE.COM,FABRIKAM,555-003-1003,103 MAIN ST,APT 4,AUSTIN,TX,10003,USA
4,MORGAN,BROWN,MORGAN.BROWN004@EXAMPLE.COM,ADVENTUREWORKS,555-004-1004,104 MAIN ST,,DENVER,CO,10004,USA
5,CASEY,JONES,CASEY.JONES005@EXAMPLE.COM,WOODGROVE,555-005-1005,105 MAIN ST,,MIAMI,FL,10005,USA
6,RILEY,GARCIA,RILEY.GARCIA006@EXAMPLE.COM,LITWARE,555-006-1006,106 MAIN ST,APT 7,CHICAGO,IL,10006,USA
7,JORDAN,MILLER,JORDAN.MILLER007@EXAMPLE.COM,COHO,555-007-1007,107 MAIN ST,,PHOENIX,AZ,10007,USA
8,SKYLER,DAVIS,SKYLER.DAVIS008@EXAMPLE.COM,PROSEWARE,555-008-1008,108 MAIN ST,,ATLANTA,GA,10008,USA
9,DREW,RODRIGUEZ,DREW.RODRIGUEZ009@EXAMPLE.COM,TAILSPIN,555-009-1009,109 MAIN ST,APT 10,PORTLAND,OR,10009,USA
10,QUINN,MARTINEZ,QUINN.MARTINEZ010@EXAMPLE.COM,WINGTIP,555-010-1010,110 MAIN ST,,DALLAS,NY,10010,USA
11,ALEX,SMITH,ALEX.SMITH011@EXAMPLE.COM,NORTHWIND,555-011-1011,111 MAIN ST,,BOSTON,MA,10011,USA
